ENSG00000280071.3	ENST00000624810.3	CH507-9B2.3-005	5127927	5125879	ENSE00003760139.1	ENSE00003759878.1
ENSG00000280071.3	ENST00000624810.3	CH507-9B2.3-005	5125992	5124756	ENSE00003759878.1	ENSE00003754178.1
ENSG00000280071.3	ENST00000624810.3	CH507-9B2.3-005	5124875	5121711	ENSE00003754178.1	ENSE00003724593.1
ENSG00000280071.3	ENST00000624810.3	CH507-9B2.3-005	5121803	5079684	ENSE00003724593.1	ENSE00003759383.1
ENSG00000280071.3	ENST00000624810.3	CH507-9B2.3-005	5079734	5079294	ENSE00003759383.1	ENSE00003760307.1
ENSG00000280071.3	ENST00000625036.3	CH507-9B2.3-003	5127927	5125879	ENSE00003760139.1	ENSE00003759878.1
ENSG00000280071.3	ENST00000625036.3	CH507-9B2.3-003	5125992	5124756	ENSE00003759878.1	ENSE00003754178.1
ENSG00000280071.3	ENST00000625036.3	CH507-9B2.3-003	5124875	5079684	ENSE00003754178.1	ENSE00003759383.1
ENSG00000280071.3	ENST00000625036.3	CH507-9B2.3-003	5079734	5079294	ENSE00003759383.1	ENSE00003760307.1
ENSG00000280071.3	ENST00000620015.4	CH507-9B2.3-013	5127143	5125879	ENSE00003756626.1	ENSE00003756707.1
ENSG00000280071.3	ENST00000620015.4	CH507-9B2.3-013	5125992	5124756	ENSE00003756707.1	ENSE00003754178.1
ENSG00000280071.3	ENST00000620015.4	CH507-9B2.3-013	5124875	5121711	ENSE00003754178.1	ENSE00003724593.1
ENSG00000280071.3	ENST00000620015.4	CH507-9B2.3-013	5121803	5118691	ENSE00003724593.1	ENSE00003722853.1
ENSG00000280071.3	ENST00000620015.4	CH507-9B2.3-013	5118847	5116341	ENSE00003722853.1	ENSE00003747879.2
ENSG00000280071.3	ENST00000620528.4	CH507-9B2.3-001	5128425	5127898	ENSE00003752103.2	ENSE00003727348.1
ENSG00000280071.3	ENST00000620528.4	CH507-9B2.3-001	5127950	5125879	ENSE00003727348.1	ENSE00003759878.1
ENSG00000280071.3	ENST00000620528.4	CH507-9B2.3-001	5125992	5124756	ENSE00003759878.1	ENSE00003754178.1
ENSG00000280071.3	ENST00000620528.4	CH507-9B2.3-001	5124875	5121711	ENSE00003754178.1	ENSE00003724593.1
ENSG00000280071.3	ENST00000620528.4	CH507-9B2.3-001	5121803	5118691	ENSE00003724593.1	ENSE00003722853.1
ENSG00000280071.3	ENST00000620528.4	CH507-9B2.3-001	5118847	5116341	ENSE00003722853.1	ENSE00003747879.2
ENSG00000280071.3	ENST00000624120.3	CH507-9B2.3-002	5128372	5127898	ENSE00003759666.1	ENSE00003727348.1
ENSG00000280071.3	ENST00000624120.3	CH507-9B2.3-002	5127950	5125879	ENSE00003727348.1	ENSE00003759878.1
ENSG00000280071.3	ENST00000624120.3	CH507-9B2.3-002	5125992	5124756	ENSE00003759878.1	ENSE00003754178.1
ENSG00000280071.3	ENST00000624120.3	CH507-9B2.3-002	5124875	5118691	ENSE00003754178.1	ENSE00003722853.1
ENSG00000280071.3	ENST00000624120.3	CH507-9B2.3-002	5118847	5116937	ENSE00003722853.1	ENSE00003758207.1
ENSG00000280071.3	ENST00000624648.3	CH507-9B2.3-011	5128273	5127898	ENSE00003758926.1	ENSE00003727348.1
ENSG00000280071.3	ENST00000624648.3	CH507-9B2.3-011	5127950	5125879	ENSE00003727348.1	ENSE00003759878.1
ENSG00000280071.3	ENST00000624648.3	CH507-9B2.3-011	5125992	5124756	ENSE00003759878.1	ENSE00003754178.1
